AGENSI_xn,organization_id,name
Jabatan Perhutanan Negeri,#N/A,Forest (Timber)(Compounding of Offences) Regulation 2017
Jabatan Perhutanan Negeri,#N/A,Forest (Timber)(Registration) Regulations 2017
Jabatan Perhutanan Negeri,#N/A,Forest (Constitution of Forest Reserves and Amendment) Enactment 1984
Jabatan Perhutanan Negeri,#N/A,Timber Royalties (Application Of Rates) Enactment 1966 (Sabah No. 22 of 1966)
Jabatan Perhutanan Negeri,#N/A,Forest (Kebun Cina Forest Reserve) Rules 2009
Jabatan Perhutanan Negeri,#N/A,Fees (Forest Reserves) Order 2009
Lembaga Kemajuan Perhutanan Negeri Sabah (SAFODA),#N/A,Sabah Forestry Development Authority Enacment 1981
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,City of Kota Kinabalu Enactment 1997
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,City of Kota Kinabalu (Advisory Board) Direction 2000
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Kota Kinabalu Municipal Council (Change of Status) Enactment 1978
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Dogs Ordinance 1960
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Dogs Rules 1960
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,"Cattle, Grazing and Pounds Ordinance Cap. 21"
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Pound (Fees) Rules 1954
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Public Entertainments Ordinance 1958
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Public Entertainments (Prohibition on Smoking and Cigarettes Advertisement) Rules 1973
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,Public Entertainments Rules 2009
Dewan Bandaraya Kota Kinabalu (DBKK),#N/A,The Theatres and Places of Public Amusement Rules
Kumpulan Yayasan Sabah,#N/A,Sabah Foundation Enactment 1966
Lembaga Pemegang Amanah Yayasan Tun Fuad,#N/A,"Tun Fuad Foundation Enactment, 1976"
Sabah Economic Development and Investment Authority (SEDIA),#N/A,Sabah Economic Development and Investment Authority Enactment 2009
Sabah Energy Corporation Sdn Bhd,#N/A,"Sabah Energy Corporation (Successor Company)
Enactment 1997"
"Lembaga kemajuan Tanah Negeri
Sabah (LKTNS)",#N/A,Sabah Land Development Board Enactment 1981
Majlis Biodiversiti Sabah,#N/A,Sabah Biodiversity Enactment 2000
Kementerian Kewangan,#N/A,Government Trust Funds Enactment 1964
Kementerian Kewangan,#N/A,Sabah Development Fund Ordinance 1963
Kementerian Kewangan,#N/A,State Sales Tax Enactment 1998
Kementerian Kewangan,#N/A,State Sales Tax Regulations 1999
Kementerian Kewangan,#N/A,States Sales Tax (Rate of Tax) Order 2021
Kementerian Kewangan,#N/A,State Sales Tax (Rate of Tax) Order 2018
Kementerian Kewangan,#N/A,State Sales Tax (Rate of Tax) Order 2017
Kementerian Kewangan,#N/A,State Sales Tax (Rate of Tax) Order 2004
Kementerian Kewangan,#N/A,Local Loans Ordinance 1959
Kementerian Kewangan,#N/A,Loan (Federation of Malaysia) Enactment 1974
Kementerian Kewangan,#N/A,Loan (Financial Source) Enactment 1976
Kementerian Kewangan,#N/A,Liberation Education Trust (Dissolution) Enactment 1992
Jabatan Bendahari Negeri Sabah,#N/A,"Treasury Bills Ordinance, 1963"
Jabatan Bendahari Negeri Sabah,#N/A,Civil List Enactment 1963
Jabatan Bendahari Negeri Sabah,#N/A,Fees Enactment 1981
Sabah Credit Corporation,#N/A,Sabah Credit Corporation Enactment 1981
Desa Group,#N/A,Korporasi Pembangunan Desa Sabah Enactment 1981
Jabatan Air Negeri Sabah,#N/A,Sabah Water Supply Enactment 2003
Jabatan Air Negeri Sabah,#N/A,Sabah Water Resources Enactment 1998
Jabatan Air Negeri Sabah,#N/A,"Pipe Filter’s License, Mains Layer’s License and Reconnection Fees (Validation) Enactment 2016"
Jabatan Air Negeri Sabah,#N/A,"Water Supply (Privatized Water Supply Area) (West Coast) Order,1992"
Jabatan Air Negeri Sabah,#N/A,"Water Supply (Privatized Water Supply Area) (Sandakan and Tawau) Order,1993"
Jabatan Air Negeri Sabah,#N/A,"Water Supply (Privatized Water Supply Area) (Lahad Datu,Semporna,Kunak and Pulau Bum-Bum) Order 1995"
Jabatan Air Negeri Sabah,#N/A,Water Supply Regulation 1961
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"The Merchant Shipping Ordinance, 1960"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Merchant Shipping (Carriage of Livestock) Regulations 1961
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant shipping (Classification of Coastal Trade Ships) Regulations,1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Fees) Regulations, 1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Floating Logs and Timber Rafts) Regulations, 1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Government Wharves) Regulations, 1963"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Merchant Shipping (Laid-Up Vessels) Regulations 1984
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Manning) Regulations, 1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Pilotage) Regulations, 1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Ports, Harbors and Dues) Regulations, 1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,"Merchant Shipping (Terminable Certificates of Registry) Regulations, 1961"
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Sabah Ports (Privatization) Enactment 1998
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors Enactment 2002
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Sabah Ports Authority (Scale of Dues and Charges) Regulations 1977
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Towage) Regulations 2008
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Sabah Licensed Small Ships) Regulations 2008
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Pilotage) Regulations 2008
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Laid-Up Vessels) Regulations 2008
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Government Wharves) Regulations 2008
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Fees) Regulations 2008
Jabatan Pelabuhan dan Dermaga Sabah,#N/A,Ports and Harbors (Compounding of Offences) Regulations 2008
Jabatan Kerja Raya,#N/A,Highways Ordinance Cap.55 Vol.II
Jabatan Kerja Raya,#N/A,"Highways (Bubol Road Semporna) Rules,1958"
Jabatan Kerja Raya,#N/A,"Highways (VHF Driveway, Sandakan) Rules, 1958"
Jabatan Keretapi Negeri Sabah,#N/A,Railways Enactment 2017
Jabatan Keretapi Negeri Sabah,#N/A,Railways (Tariff Book) Rules 1979
Jabatan Perkhidmatan Pembetungan Negeri Sabah,#N/A,Sewerage Services Enactment 2017
Lembaga Pelabuhan-pelabuhan Sabah,#N/A,Sabah Ports Authority Enactment 1981
Jabatan Pertanian Sabah,#N/A,Agricultural Produce Broad Enactment 1981
Jabatan Perikanan Sabah,#N/A,Sabah Inland Fisheries and Aquaculture Enactment 2003
Jabatan Perikanan Sabah,#N/A,Seed Pearls Ordinance Cap. 134
Jabatan Perikanan Sabah,#N/A,Pearl Oyster Shell Fishery Ordinance Cap.95
Jabatan Perikanan Sabah,#N/A,The Fisheries Regulation 1964. G.N.S 35/64
Jabatan Perikanan Sabah,#N/A,The Fisheries (Prohibition of Piranhas) Regulation 1966 G.N.S 116/66
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Animal Enactment 2015
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Animal Welfare Enactment 2015
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Animal (Fees) Rules 1962
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Control of Livestock Activities (Pig) Rules 2008
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Meat Inspection Rules 2003
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Pets and Sporting Animal Laboratory Test Fees Rules 1987
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Slaughterhouses Rules 2003
Jabatan Perkhidmatan Veterinar Sabah,#N/A,Feed Enactment 2021
Jabatan Pengairan dan Saliran Sabah,#N/A,Drainage and Irrigation Ordinance 1956
Jabatan Pengairan dan Saliran Sabah,#N/A,Sabah Water Resources Enactment 1998
Korporasi Pembangunan Desa,#N/A,Korporasi Pembangunan Desa Sabah Enactment 1981
Korporasi Kemajuan Perikanan dan Nelayan (KO-NELAYAN),#N/A,Korporasi Kemajuan Perikanan Nelayan Sabah (KO-NELAYAN) Enactment 1981
Lembaga Industri Getah Sabah,#N/A,Rubber Industry Board Enactment 1981
Lembaga Industri Getah Sabah,#N/A,Rubber Industry Replanting Fund Ordinance 1954
Lembaga Industri Getah Sabah,#N/A,Rubber Dealers Ordinance
Lembaga Industri Getah Sabah,#N/A,Rubber Dealers Rules
Perpustakaan Negeri Sabah,#N/A,Sabah State Library Enactment 1988
Perpustakaan Negeri Sabah,#N/A,Enakmen Jabatan Perpustakaan Negeri Sabah (Pindaan 2007)
Perpustakaan Negeri Sabah,#N/A,"State Library Regulations, 1988"
Perpustakaan Negeri Sabah,#N/A,State Library (Fees and Fines) Regulations
Jabatan Perkhidmatan Komputer Negeri Sabah (JPKN),#N/A,Electronic Government Activities Enactment 2014
Kementerian Kerajaan Tempatan Dan Perumahan,#N/A,Local Government Ordinance 1961
Kementerian Kerajaan Tempatan Dan Perumahan,#N/A,Temporary measures for Reducing The Impact of Coronavirus diseases 2019 (COVID-19) Enactment 2020
Kementerian Kerajaan Tempatan Dan Perumahan,#N/A,Housing Development (Control and Licensing) Enactment 1978
Kementerian Kerajaan Tempatan Dan Perumahan,#N/A,Housing (Control and Licensing Of Developers) Rules 1980
Kementerian Kerajaan Tempatan Dan Perumahan,#N/A,Housing Developers (Project Account) Rules 1995
Kementerian Kerajaan Tempatan Dan Perumahan,#N/A,Housing Development (Control and Licensing) Rules 2008
Jabatan Perancangan Bandar Dan Wilayah,#N/A,Town and Country Planning Ordinance (Sabah Cap 141)
Jabatan Hal Ehwal Anak Negeri Sabah,#N/A,Interpretation (Definition of Native) Ordinance Cap.64
Jabatan Hal Ehwal Anak Negeri Sabah,#N/A,Native Courts Enactment 1992
Makhamah-Makhamah Anak Negeri (MAN),#N/A,Native Courts Enactment 1992
Majlis Hal Ehwal Anak Negeri Sabah,#N/A,Majlis Hal Ehwal Anak Negeri Enactment 1998
Lembaga Pembangunan Perumahan dan Bandar,#N/A,Housing and Town Development Authority Enactment 1981
Pihak Berkuasa Tempatan,#N/A,City of Kota Kinabalu Enactment 1997
Pihak Berkuasa Tempatan,#N/A,City of Kota Kinabalu (Advisory Board) Directions 2000
Pihak Berkuasa Tempatan,#N/A,Tawau Municipal Council (Change of Status and Amalgamation) Enactment 1981
Pihak Berkuasa Tempatan,#N/A,Kota Kinabalu Municipal Council (Change of Satus) Enactment 197
Pihak Berkuasa Tempatan,#N/A,Kudat Town Board (Change of Status) Enactment 1982
Pihak Berkuasa Tempatan,#N/A,Sandakan Municipal Council (Change of Status and Amalgamation) Enactment 1981
Pihak Berkuasa Tempatan,#N/A,Labuan Municipal Council (Change of Status) Enactment 1981
Pihak Berkuasa Tempatan,#N/A,Dogs Ordinance 1960
Pihak Berkuasa Tempatan,#N/A,Dogs Rules 1960
Pihak Berkuasa Tempatan,#N/A,"Cattle, Grazing and Pounds Ordinance Cap.21"
Pihak Berkuasa Tempatan,#N/A,Branding (Kota Belud Local Authority Area)(Fees) Rules 1953
Pihak Berkuasa Tempatan,#N/A,Branding (Kudat and Tuaran) Fee Rules 1953
Pihak Berkuasa Tempatan,#N/A,District Brands Rules
Pihak Berkuasa Tempatan,#N/A,Pound (Fees) Rules 1954
Pihak Berkuasa Tempatan,#N/A,Public Entertainment Ordinance 1958
Pihak Berkuasa Tempatan,#N/A,Public Entertainment (Prohibition on Smoking and Cigarettes Advertisement) Rules 1973
Pihak Berkuasa Tempatan,#N/A,Public Entertainment Rules 2009
Pihak Berkuasa Tempatan,#N/A,The Theatres and Places of Public Amusement Rules
Pihak Berkuasa Tempatan,#N/A,Public Health Ordinance 1960
Pihak Berkuasa Tempatan,#N/A,Public Health (Food and Drugs) Regulation 1960
Pihak Berkuasa Tempatan,#N/A,Public Health (Milk and Diaries) Regulation 1960
Pihak Berkuasa Tempatan,#N/A,Public Health (Mosquito) (Malaria eradication) Regulations 1960
Pihak Berkuasa Tempatan,#N/A,Public Health (Notifiable Diseases and Public Conveyances) Order 1960
Lembaga Sukan Negeri Sabah,#N/A,Sabah Sports Board Enactment 1981
Jabatan Hidupan Liar,#N/A,Wildlife Conservation Enactment 1997
Jabatan Hidupan Liar,#N/A,Wildlife Regulations 1998
Jabatan Perlindungan Alam Sekitar,#N/A,Environment Protection Enactment 2002
Jabatan Perlindungan Alam Sekitar,#N/A,Environment Protection (Compounding of Offences) Rules 2005
Jabatan Perlindungan Alam Sekitar,#N/A,Environment Protection (Control of Pig Farming Pollution) Rules 2008
Jabatan Perlindungan Alam Sekitar,#N/A,Environment Protection (Environment Fees) Rules 2005
Jabatan Perlindungan Alam Sekitar,#N/A,Environment Protection (Registration of environment Consultants) Rules 2005
Jabatan Perlindungan Alam Sekitar,#N/A,Sabah Biodiversity Enactment 2000
Jabatan Muzium Sabah,#N/A,Antiquities and Treasures Trove Enactment 1977
Jabatan Muzium Sabah,#N/A,State Heritage Enactment 2017
Jabatan Muzium Sabah,#N/A,State Heritage Trust Fund (Repeal) Enactment 2015
Lembaga Pelancongan Sabah,#N/A,Sabah Tourism Promotion Corporation Enactment 1981
Lembaga Kebudayaan Sabah,#N/A,Sabah Cultural Board Enactment 1996
Lembaga Pemegang Amanah Taman-Taman Sabah,#N/A,Parks Enactment 1984
Lembaga Pemegang Amanah Taman-Taman Sabah,#N/A,Fees (Sipadan Island) Regulations 2018
Majlis Warisan Negeri (State Heritage Council),#N/A,State Heritage Enactment 2017
Majlis Warisan Negeri (State Heritage Council),#N/A,State Heritage Trust Fund (Repeal) Enactment 2015
Kementerian Pembangunan Luar Bandar,#N/A,Rural Administration Ordinance Cap.132
Jabatan Perkhidmatan Kebajikan Am Negeri Sabah,#N/A,Sabah Council of Social Services Enactment 1997
Jabatan Perkhidmatan Kebajikan Am Negeri Sabah,#N/A,Guardianship of Infants Ordinance Cap.54 Vol. II
Jabatan Perkhidmatan Kebajikan Am Negeri Sabah,#N/A,Old Age Assistance Scheme Regulations. 1982
Jabatan Perkhidmatan Kebajikan Am Negeri Sabah,#N/A,Adoption Ordinance 1960
Jabatan Perkhidmatan Kebajikan Am Negeri Sabah,#N/A,Adoption Rules 1961
Jabatan Perkhidmatan Kebajikan Am Negeri Sabah,#N/A,Native Court Adoption Regulation 1961
Majlis Perkhidmatan Masyarakat Sabah (Sabah Council of Social Services),#N/A,Sabah Council of Social Services Enactment 1997
Perbadanan Pembangunan Ekonomi Sabah (SEDCO),#N/A,Sabah Economic Development Corporation Enactment 1981
Perbadanan Pembangunan Ekonomi Sabah (SEDCO),#N/A,Sabah Economic Development Corporation (Conduct And Discipline) Rules 1992
By-Laws under Section 50A of the Local Government Ordinance 1961,#N/A,Uniform (Anti-litter) By-laws 2010
By-Laws under Section 50A of the Local Government Ordinance 1961,#N/A,Uniform (Beauty and Health Care Centre) By-laws 2014
By-Laws under Section 50A of the Local Government Ordinance 1961,#N/A,Uniform (Compounding Offences) By-laws 2013
By-Laws under Section 50A of the Local Government Ordinance 1961,#N/A,Uniform (Segregation and Disposal of Organic Waste) By-laws 2016
By-Laws under Section 50A of the Local Government Ordinance 1961,#N/A,Uniform (Tamu) By-laws 2014
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council Instruments, 1978"
Kota Kinabalu Municipal Council,#N/A,"City of Kota Kinabalu (Amendment of Instrument) Order, 2004"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (General) By-Laws, 1956"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Advertisements) By-Laws, 1983"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Advertisements) By-Laws, 2005"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Anti-Litter) By-Laws, 1984"
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu (Anti-Litter) (Amendment) By-Laws 2005
Kota Kinabalu Municipal Council,#N/A,"The Municipal Ordinance (Building By-laws), 1951"
Kota Kinabalu Municipal Council,#N/A,"The Kota Kinabalu Municipal Council (Building) (Amendment) By-laws, 1979"
Kota Kinabalu Municipal Council,#N/A,"The Kota Kinabalu Municipal Council (Building) (Amendment) By-laws, 1987"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Conversancy and Hygiene) By-laws, 1984"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Conversancy and Hygiene) (Amendment) By-laws 2008
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Control of Animal) By-laws, 1981"
Kota Kinabalu Municipal Council,#N/A,"City Of Kota Kinabalu (Control of Animal) (Amendment) By-laws, 2008"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Dairies and Dairymen) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Dealing in Scrap) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu (Dealing in Scrap) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Earthworks) By-laws, 1987"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Earthworks) (Amendment) By-laws 2014
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Food and Eating Premises) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Food and Eating Premises) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Hawkers) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Hawkers) (Amendment) By-laws 2008
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Hairdressers) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Hairdressers) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Hotel and Lodging Houses) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu Hotel and Lodging Houses) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,Kota Kinabalu Municipal Council (Laundries) By-laws 1966
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Laundries) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Beauty and Health) By-laws 2018
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Markets) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Markets) (Amendment) By-laws 2008
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Offensive Trades) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Offensive Trades) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,"Local Authority (Assignment of Functions-The Provisions of Parking Places and Stands) Order, 1973"
Kota Kinabalu Municipal Council,#N/A,"Local Authority (Assignment of Functions-The Provisions of Parking Places and Stands) Order, 1973"
Kota Kinabalu Municipal Council,#N/A,"City Of Kota Kinabalu (Provisions of Parking Places) (Coupon By-laws), 2014"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Dealing in Scrap) (Amendment) By-laws 2014
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Planting) By-laws, 1982"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Pub and bar Lounge Premises) By-laws, 1984"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Pub and bar Lounge Premises) (Amendment) By-laws 2003
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Registration and Control of Dogs) By-laws, 1963"
Kota Kinabalu Municipal Council,#N/A,City Of Kota Kinabalu (Registration and Control of Dogs) (Amendment) By-laws 2008
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Sewerage) By-laws, 1960"
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Street and Public Places) By-laws, 1966"
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu (Street and Public Places) (Amendment) By-laws 2008
Kota Kinabalu Municipal Council,#N/A,"Kota Kinabalu Municipal Council (Tamus) By-laws, 1980"
Kota Kinabalu Municipal Council,#N/A,Kota Kinabalu Municipal Council (Use of Premises) By-laws 1995
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu (Use of Premises) (Amendment) By-laws 2008
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu (Use of Premises) (Amendment) By-laws 2014
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu Provision of Parking Places (Controlled Parking Places) By-laws 2018
Kota Kinabalu Municipal Council,#N/A,City of Kota Kinabalu (Licensing and Control of Private Car Parks) By-laws 2018
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Advertisements) By-laws, 1984"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Cess on Cocoa) (Suspension) Order, 1984"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Control of Javeline or Discus Throwing_ By-laws, 1963"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Dealing in Scrap) By-laws, 1970"
